date,temperature,humidity,luminosity
2023-12-07 16:03:57.503,21.9,35.6,112
2023-12-07 16:03:56.495,21.9,35.7,112
2023-12-07 16:03:55.495,21.9,35.7,112
2023-12-07 16:03:54.483,21.9,35.8,111
2023-12-07 16:03:53.484,21.9,35.8,111
2023-12-07 16:03:52.476,21.9,35.9,112
2023-12-07 16:03:51.473,21.9,35.9,107
2023-12-07 16:03:50.465,21.9,36.0,109
2023-12-07 16:03:49.462,21.9,36.0,109
2023-12-07 16:03:48.454,21.9,36.0,111
2023-12-07 16:03:47.450,21.9,36.0,111
2023-12-07 16:03:46.442,21.9,35.8,111
2023-12-07 16:03:45.443,21.9,35.8,112
2023-12-07 16:03:44.431,21.9,35.7,111
2023-12-07 16:03:43.432,21.9,35.7,107
2023-12-07 16:03:42.424,21.9,35.8,107
2023-12-07 16:03:41.420,21.9,35.8,108
2023-12-07 16:03:40.413,21.9,35.8,108
2023-12-07 16:03:39.409,21.9,35.8,108
2023-12-07 16:03:38.401,21.9,35.8,108
2023-12-07 16:03:37.398,21.9,35.8,107
2023-12-07 16:03:36.390,21.9,35.8,108
2023-12-07 16:03:35.390,21.9,35.8,108
2023-12-07 16:03:34.378,21.9,35.8,108
2023-12-07 16:03:33.379,21.9,35.8,108
2023-12-07 16:03:32.371,21.9,35.8,107
2023-12-07 16:03:31.367,21.9,35.8,107
2023-12-07 16:03:30.360,21.9,35.8,108
2023-12-07 16:03:29.356,21.9,35.8,107
2023-12-07 16:03:28.348,21.9,35.8,107
2023-12-07 16:03:27.345,21.9,35.8,108
2023-12-07 16:03:26.337,21.9,35.9,105
2023-12-07 16:03:25.337,21.9,35.9,105
2023-12-07 16:03:24.326,21.9,35.9,108
2023-12-07 16:03:23.326,21.9,35.9,108
2023-12-07 16:03:22.319,21.9,36.0,109
2023-12-07 16:03:21.315,21.9,36.0,108
2023-12-07 16:03:20.307,21.9,36.1,108
2023-12-07 16:03:19.303,21.9,36.1,108
2023-12-07 16:03:18.295,21.9,35.8,108
2023-12-07 16:03:17.292,21.9,35.8,108
2023-12-07 16:03:16.284,21.9,35.4,109
2023-12-07 16:03:15.285,21.9,35.4,109
2023-12-07 16:03:14.273,21.9,35.4,109
2023-12-07 16:03:13.273,21.9,35.4,109
2023-12-07 16:03:12.266,21.9,35.5,109
2023-12-07 16:03:11.262,21.9,35.5,109
2023-12-07 16:03:10.254,21.9,35.6,110
2023-12-07 16:03:09.251,21.9,35.6,110
2023-12-07 16:03:08.243,21.9,35.7,108
2023-12-07 16:03:07.239,21.9,35.7,108
2023-12-07 16:03:06.232,21.9,35.7,109
2023-12-07 16:03:05.228,21.9,35.7,109
2023-12-07 16:03:04.221,21.9,35.7,109
2023-12-07 16:03:03.219,21.9,35.7,109
2023-12-07 16:03:02.207,21.9,35.7,109
2023-12-07 16:03:01.207,21.9,35.7,109
2023-12-07 16:03:00.200,21.9,35.7,108
2023-12-07 16:02:59.196,21.9,35.7,109
2023-12-07 16:02:58.188,21.9,35.6,109
2023-12-07 16:02:57.185,21.9,35.6,108
2023-12-07 16:02:56.177,21.9,35.5,108
2023-12-07 16:02:55.173,21.9,35.5,108
2023-12-07 16:02:54.166,21.9,35.2,108
2023-12-07 16:02:53.166,21.9,35.2,108
2023-12-07 16:02:52.154,21.8,35.2,108
2023-12-07 16:02:51.155,21.8,35.2,109
2023-12-07 16:02:50.147,21.9,35.3,108
2023-12-07 16:02:49.143,21.9,35.3,107
2023-12-07 16:02:48.136,21.9,35.4,105
2023-12-07 16:02:47.132,21.9,35.4,108
2023-12-07 16:02:46.125,21.8,35.4,109
2023-12-07 16:02:45.120,21.8,35.4,110
2023-12-07 16:02:44.113,21.9,35.6,114
2023-12-07 16:02:43.113,21.9,35.6,116
2023-12-07 16:02:42.102,21.9,35.8,116
2023-12-07 16:02:41.102,21.9,35.8,116
2023-12-07 16:02:40.094,21.9,35.9,111
2023-12-07 16:02:39.090,21.9,35.9,116
